AiDepthScaling;AiMaxDepth;AiMinDepth;DistanceToFoodReward;CrashCost;FoodReward;MoveCost;Score
5,5;8;1;3;672;3;-16;520
7;7;2;70;617;-43;34;0
3,6;7;0;11;316;-76;10;0
5,1;4;4;-12;579;56;65;0
2,7;9;1;-98;969;11;-63;0
7,7;8;2;-84;105;-5;70;0
4,4;5;0;15;15;46;54;0
2,1;9;0;95;745;-19;28;0
4,6;4;4;-84;709;18;-93;0
7,1;1;2;35;701;-4;-15;0
9,5;6;4;-62;610;40;17;0
8,3;9;0;2;-42;-89;-86;0
0,1;1;4;-60;67;9;-87;0
3,7;6;4;-10;870;62;-39;0
3,9;5;3;-25;171;-32;44;0
3,5;2;2;-76;673;-89;-50;0
5,5;8;2;36;490;93;27;0
0,1;4;3;15;932;-28;41;0
9,3;9;0;52;876;-45;16;0
3,6;2;0;61;687;-31;-13;0
9,5;4;3;-11;437;62;30;0
8,8;4;3;-31;833;34;64;0
0,5;0;1;-39;976;-97;-24;0
2,5;4;4;63;757;34;-17;0
5,5;3;0;64;581;-60;-64;0
0,5;9;2;-11;505;-89;-90;0
5,4;3;2;-93;566;51;-90;0
1,9;7;3;47;265;-90;-37;0
9,9;8;2;41;55;-54;41;0
0,2;6;4;-55;418;27;-35;0
0,7;9;3;-15;955;-35;99;0
0,9;3;0;-66;902;-27;42;0
6,7;4;3;-43;62;73;-28;0
0,7;8;4;-19;803;-31;-88;0
6,6;6;1;-74;33;45;2;0
7,8;8;2;-26;695;-37;-76;0
5,1;4;4;-54;853;99;79;0
1,7;1;0;-36;746;93;-29;0
0,4;9;0;-73;982;86;-100;0
7,3;7;4;57;603;-61;-15;0
6,3;2;0;-15;505;-53;77;0
4,5;8;4;90;283;-67;11;0
5,1;2;1;-30;737;-70;-3;0
8,9;4;2;47;325;-76;47;0
6,6;0;4;-55;779;-7;55;0
9,1;8;0;-57;699;-6;8;0
0,9;2;2;27;740;-12;18;0
4,8;6;3;75;-52;87;-57;0
7;7;3;-68;28;-71;48;0
8,4;9;0;9;669;56;58;0
4,4;0;0;-94;649;89;21;0
2,6;0;1;24;646;-71;58;0
3,4;2;0;51;481;11;-66;0
1;4;0;21;256;59;-59;10
3,1;3;4;-88;628;59;-49;0
6,2;5;2;-28;992;22;-92;0
7,3;3;3;-13;-99;90;-12;0
7;0;2;-66;143;23;-2;0
5,9;0;2;-29;64;-20;-32;0
7;5;1;-97;282;7;90;0
6,2;5;0;7;940;-75;43;0
0,7;2;4;-36;831;52;-27;0
2,2;4;0;-12;98;53;22;0
5,6;9;2;68;134;40;-94;0
8,7;3;3;30;356;-3;-94;0
5,6;2;0;-45;437;54;-85;0
7,2;6;2;-40;599;94;3;0
0,8;3;3;-67;747;-32;-5;0
5,3;7;3;46;370;36;-89;0
8,9;2;0;-14;205;-33;-60;0
1,6;9;2;38;990;7;32;0
3,1;8;2;15;702;3;69;0
0,1;9;2;28;59;11;57;0
5;3;4;-88;-1;-97;-94;0
4;4;2;-29;599;-38;65;0
4,1;1;0;55;786;63;83;220
9;1;3;39;82;-58;-58;0
3,1;6;3;-74;754;-18;76;0
6;6;1;80;469;25;32;0
4,3;0;4;-82;125;-96;81;0
7,9;3;1;-33;718;74;19;0
1,8;0;1;84;787;63;19;220
7,8;8;4;71;888;89;-81;0
4,7;9;3;-43;106;-50;62;0
1,6;9;3;92;108;-39;-7;0
2,3;2;4;-94;496;-43;2;0
5,9;9;1;42;788;-88;-16;0
1,6;9;0;-39;-17;61;30;0
4,5;7;4;11;579;56;-36;0
1,6;4;4;23;463;-74;-97;0
5,7;8;2;-29;625;17;9;0
9,4;3;3;-24;109;-22;77;0
9,3;7;2;-78;449;62;-100;0
5,1;0;0;84;451;-62;57;0
5,6;4;4;-41;923;-19;-15;0
0,8;4;0;-17;143;-80;18;0
3,8;3;2;-15;333;-14;1;0
6,8;3;2;-98;250;-98;-55;0
8,8;4;0;-69;332;52;-88;0
9,6;7;3;-48;983;-9;-24;0
2,6;3;2;-45;682;-19;68;0
7;5;1;-79;735;-45;-76;0
0,5;5;1;22;330;-60;74;0
9,8;0;0;65;275;6;-60;0
6;8;3;-19;974;-76;-16;0
0,4;9;0;21;570;-24;-16;0
8,9;8;3;26;431;87;-64;0
1,8;4;2;18;180;2;81;0
2,1;3;3;-26;860;28;-45;0
7,8;5;0;56;69;40;-82;0
5,8;2;0;56;801;-10;-99;0
2,8;5;4;71;554;-97;-81;0
3,6;2;1;44;574;3;-15;0
6;3;4;47;715;-72;67;0
2,5;6;4;-35;160;-83;-78;0
2,2;2;2;-13;-34;79;19;0
8,1;8;0;-45;585;-64;84;0
2,6;7;0;8;103;33;-17;0
8,5;3;2;-85;241;-66;96;0
8,7;0;1;-29;922;97;-93;0
0,2;7;2;10;579;65;-73;100
4,7;7;3;-77;952;83;58;0
8,7;7;1;-90;360;39;97;0
9,1;9;4;49;700;23;-26;0
8,7;7;4;38;117;77;87;0
0,4;5;4;13;825;-45;-53;0
5,5;7;1;-30;181;-63;-24;0
2,3;9;4;2;219;-91;99;0
7,4;5;2;78;134;52;-78;0
0,1;8;2;51;-69;70;18;70
1,7;3;1;15;360;49;67;10
2,4;6;0;-6;367;98;-28;0
8,4;1;3;81;822;88;27;0
0,4;5;2;25;464;-76;-40;0
9,3;8;4;-55;268;57;7;0
5,3;4;2;74;227;-69;-89;0
9,2;2;4;57;749;50;-1;0
6,1;8;4;-62;902;91;-67;0
8,6;8;1;80;588;6;-75;0
7,9;2;0;-82;122;64;-39;0
7,7;2;4;8;762;15;-37;0
2,9;7;0;48;309;61;-75;0
0,1;9;4;-16;816;-27;-36;0
6;1;3;34;586;86;33;0
9,9;8;3;14;920;-62;-74;0
5,5;1;0;-75;313;70;68;0
0,5;2;3;-50;702;-100;14;0
2,6;0;4;-27;403;96;56;0
0,8;1;0;-68;614;29;-67;0
9,2;3;1;-12;575;99;-41;0
8,7;8;2;-9;465;-5;-8;0
9,6;0;1;78;920;-82;9;0
7,4;7;4;-7;127;-31;46;0
9,6;9;4;45;124;34;-7;0
8,1;3;4;-77;-94;-46;-75;0
2,6;4;1;88;456;-36;-24;0
1,1;9;4;44;510;23;-78;0
6;3;3;-19;611;13;-64;0
8,1;6;3;-38;784;98;82;0
6,6;2;2;84;802;-16;-71;0
3,3;7;0;40;-68;-31;-4;0
0,2;8;3;29;-40;-29;70;0
0,3;1;3;-29;680;89;-58;0
8,3;4;3;40;262;-7;-10;0
6,7;4;3;46;118;93;-10;0
6,3;7;3;23;139;39;-46;0
7,7;0;2;49;598;-88;57;0
1,1;8;0;-78;419;86;24;0
2,1;2;4;40;865;-95;-1;0
3,8;0;3;71;327;-20;-31;0
4,5;9;4;-2;173;88;-19;270
4,1;2;3;38;347;33;-89;0
5,5;7;4;45;-63;65;13;0
5,2;7;4;-33;639;55;-17;0
0,6;8;3;-51;627;-12;-22;0
9,1;0;0;-56;988;-58;31;0
9,6;2;0;-6;295;-13;58;0
2,9;8;0;-30;532;55;65;0
2,2;0;2;15;84;98;86;80
4,1;0;2;49;150;32;-30;280
6,5;9;4;-92;573;81;27;0
4,5;7;4;-38;273;25;10;0
9,9;4;3;-83;626;13;53;0
9,8;5;3;64;146;45;38;0
2,8;6;1;-74;748;-12;10;0
9,1;2;1;92;857;-63;28;0
2,9;5;3;65;301;-25;54;0
5,3;8;1;13;5;16;-16;0
3,5;1;0;-23;101;88;33;0
1,3;5;0;13;103;-100;-67;0
1,8;3;4;57;319;-75;-85;0
0;0;2;71;282;84;37;280
7,7;0;2;35;840;-75;50;0
1,4;0;1;37;167;94;12;220
9,7;5;3;-65;313;21;-67;0
4,6;2;2;43;404;-31;-29;0
0,7;6;4;67;-75;96;-31;0
4,9;5;0;-35;865;-18;-29;0
3;7;3;-73;69;2;-93;0
5,3;7;4;94;246;4;-94;0
8,6;0;4;-21;755;-21;-39;0
4,6;3;4;-56;991;-57;-87;0
9,8;6;2;-1;110;62;-5;60
4,9;8;4;-40;817;-37;-68;0
8,3;9;4;41;405;-37;8;0
5;2;4;-81;-80;-91;26;0
3,6;8;2;-68;227;94;68;0
1,1;3;0;-76;679;11;10;0
1,9;9;2;88;-12;-72;-27;0
4,3;9;1;6;889;5;25;0
4,2;6;0;-66;740;68;-5;0
0,2;3;2;7;277;-37;-75;0
5,4;8;0;50;737;98;44;0
2,6;4;3;87;894;-47;-38;0
9,1;0;4;-21;391;-58;85;0
7,2;9;2;89;684;-86;36;0
5,9;9;3;47;806;-53;-66;0
0,7;2;1;-73;487;81;77;0
2,5;5;0;71;530;-68;-68;0
3,1;6;4;79;16;-61;-79;0
8,8;7;1;-91;907;-93;65;0
4,7;8;1;-85;-66;-72;32;0
8,3;7;0;82;237;-92;66;0
4,4;2;4;-72;903;3;-7;0
2,9;9;0;43;-58;-88;-43;0
4,9;0;3;23;856;-89;-62;0
6,6;8;4;8;-76;0;56;0
9,1;7;4;59;70;-45;-4;0
4,7;3;1;-100;469;-28;-11;0
8,7;1;1;98;-16;-25;-65;0
6,8;3;2;-13;981;28;-33;0
3,9;8;4;77;-82;36;55;0
2,5;1;3;76;765;60;-24;0
6,7;4;2;-30;667;48;-97;0
7;6;1;89;38;21;58;0
4,1;3;0;-66;596;-72;-54;0
5;4;0;0;648;34;-83;10
9,8;6;0;-43;530;58;23;0
8,8;0;4;-43;891;-36;-99;0
1,6;5;3;78;-19;96;36;0
8,7;4;4;-70;627;-70;68;0
9,7;4;3;-97;-23;85;-66;0
0;2;4;10;796;-65;44;0
2,5;1;3;46;801;-56;5;0
8,8;3;0;21;655;-19;-34;0
1,8;2;1;82;605;54;-78;240
6,1;2;1;66;336;67;82;240
2,7;8;2;-49;788;91;-68;0
3,2;2;2;68;921;-38;23;0
0,4;5;3;-24;471;68;-82;0
0,4;6;4;-66;342;22;65;0
8,8;2;1;-16;324;23;29;0
5,7;7;0;75;395;-67;21;0
9,9;8;2;42;406;-2;70;0
7,6;6;0;75;995;63;13;0
2;5;2;-19;278;-33;-54;0
9,6;0;2;8;665;94;-11;240
8;5;2;-87;638;-4;-6;0
7,5;4;2;88;33;94;-90;0
